rolling_failure_rate,dependency_files_changed,step_duration_seconds,num_recent_errors,day_of_week,hour_of_day,failed
0.6,0,541.5,4,1,12,0
0.62,1,313.4,1,6,17,1
0.2,0,442,3,0,11,0
0.05,0,48.9,1,0,4,0
0.53,0,133.8,5,3,19,1
0.45,0,60.8,3,4,5,0
0.21,0,473.2,5,3,4,0
0.29,0,425.9,4,4,22,0
0.94,0,595.4,0,0,0,0
0.48,0,569.7,0,5,22,0
0.71,0,342.2,4,0,23,1
0.92,0,377.1,2,4,7,1
0.3,0,535.9,4,6,21,0
0.55,0,90.5,4,2,18,1
0.09,0,523.2,0,6,4,0
0.7,0,277.7,0,4,8,0
0.63,1,225.8,4,2,3,1
0.37,0,472.5,3,6,21,0
0.6,0,140.4,0,4,17,0
0.28,0,47.5,1,6,13,0
0.16,0,366.6,1,2,10,0
0.69,0,231.7,5,2,11,1
0.55,0,171.2,1,2,7,0
0.22,0,447,1,0,7,0
0.58,0,318.9,2,4,21,1
0.44,0,550.6,3,5,21,0
0.15,0,514.6,1,2,13,0
0.49,1,535.9,4,0,1,1
0.51,0,486.5,5,5,15,1
0.85,0,240.6,2,6,16,1
0.94,0,227.6,5,1,8,1
0.09,0,465.8,5,6,11,0
0.15,0,113.5,0,2,10,0
0.72,1,500.9,1,4,12,1
0.47,0,285,1,2,3,0
0.27,0,358.8,3,3,3,0
0.15,1,71.6,5,3,12,1
0.82,0,252.4,1,4,13,0
0.97,1,426.7,4,3,19,1
0.18,0,87.5,0,1,16,0
0.56,1,43.3,2,2,6,1
0.54,0,596.6,5,1,12,1
0.94,0,371.1,4,2,11,1
0.55,0,362.6,3,6,23,1
0.31,0,430.8,5,2,21,0
0.88,0,233.8,3,5,14,1
0.69,0,202,5,3,6,1
0.77,1,458.9,1,5,21,1
0.47,0,329.9,5,4,10,1
0.62,1,340.7,0,1,2,0
0.38,1,532.7,4,0,0,1
0.7,0,543.6,3,6,21,1
0.1,0,173.9,2,1,6,0
0.52,0,385.2,0,5,16,0
0.12,0,49.9,2,1,5,0
0.58,1,235,3,0,17,1
0.38,0,501.3,3,0,1,0
0.43,1,505.3,2,6,4,1
0.55,0,153.9,4,1,3,1
0.6,0,153.2,5,3,17,0
0.96,0,200.4,0,2,17,1
0.25,1,303.5,1,4,12,0
0.85,0,111.8,5,1,11,1
0.62,0,434.6,0,6,19,0
0.2,0,487.3,2,3,6,0
0.03,1,248.2,2,1,12,0
0.67,0,570.7,4,4,19,0
0.59,0,319,3,3,10,1
0.02,1,32.2,4,1,8,1
0.93,0,400.9,5,3,1,1
0.49,0,311,4,0,17,1
0.95,1,317.6,0,6,1,1
0.49,0,363.1,3,5,15,1
0.98,1,517,5,5,3,1
0.99,0,324.7,5,4,18,1
0.84,0,583.9,3,1,3,1
0.72,0,112.8,1,4,8,1
0.97,0,505.5,4,0,16,1
0.25,0,569.7,2,2,20,0
0.32,0,347.6,5,1,14,0
0.64,1,290.3,3,5,9,1
0.17,1,138.8,4,4,13,1
0.63,1,492.9,0,0,2,1
0,0,344.4,0,5,15,0
0.41,1,237.4,1,5,15,0
0.63,0,540.6,3,2,14,0
0.59,0,111.1,4,5,6,1
0.94,0,387.8,2,4,23,1
0.69,0,575.5,3,6,5,0
0.32,1,333.5,5,0,15,1
0.99,0,607.9,1,6,7,1
0.39,0,202.7,5,4,7,0
0.36,0,135.7,3,6,15,0
0.89,0,542.5,2,4,10,1
0.66,0,275.3,1,0,17,0
0.33,0,105.1,3,1,1,0
0.7,0,455,1,1,14,0
0.35,0,310.7,4,0,4,0
0.88,1,601.7,2,1,15,1
0.75,1,273.2,2,1,21,1
0.17,0,544.5,0,3,12,0
0.98,0,435,3,6,21,1
0.23,1,262.8,4,3,10,1
0.37,0,417,5,6,5,1
0.49,0,467.3,3,2,23,0
0.43,0,122.7,0,0,8,0
0.53,0,257.4,5,5,10,1
0.75,0,380.5,1,0,20,0
0.12,1,56.2,4,4,1,1
0.88,0,535.6,1,6,10,1
0.02,0,61.5,2,3,9,0
0.96,1,167.8,0,1,16,1
0.98,1,562.4,1,4,12,1
0.21,0,534.9,5,6,5,0
0.01,1,432.9,3,0,15,1
0.79,0,538.4,1,3,8,0
0.27,1,625.1,3,1,0,1
0.04,1,232.3,5,6,18,0
0.36,0,71.4,3,3,14,0
0.59,0,559.5,4,4,10,1
0.22,0,91.6,5,1,5,0
0.61,0,286,2,2,10,1
0.08,0,419.7,3,6,20,0
0.78,0,305.4,3,2,4,1
0.92,0,584.4,5,0,11,1
0.27,0,509,2,5,8,0
0.06,1,474.5,2,2,6,0
0.27,0,47.8,4,1,6,0
0.8,0,470,3,3,8,1
0.59,0,499.1,5,5,15,1
0.37,0,619.2,1,2,9,0
0.68,0,143.8,3,5,13,1
0.87,1,386.9,3,2,20,1
0.06,0,41.3,0,5,4,0
0.17,0,611.4,2,5,20,0
0.27,1,249,1,0,17,1
0.89,0,181.5,3,4,6,1
0.8,0,405.7,3,6,9,1
0.82,0,555.5,4,5,5,1
0.84,0,370,5,2,8,1
0.04,0,609.8,5,3,12,0
0.09,1,201.7,1,6,15,0
0.3,0,165.2,5,6,15,0
0.75,0,376.2,2,4,8,1
0.48,0,426,1,4,19,0
0.14,0,134.5,5,0,12,0
0.28,0,329.4,0,5,11,0
0.62,0,345.7,5,6,4,0
0.83,1,344,0,1,5,1
0.46,0,201.6,3,5,17,1
0.49,1,577.1,4,5,8,1
0.06,0,403.3,1,6,23,0
0.98,0,507.3,0,2,12,1
1,1,479,4,6,19,1
0.6,1,254.8,3,0,8,1
0.74,0,436,1,5,7,0
0.15,0,596,5,2,7,0
0.74,0,229.2,1,4,21,1
0.8,1,447.2,4,1,6,1
0.23,1,124.6,3,5,8,1
0.95,1,140.4,1,3,21,1
0.83,0,54,3,2,3,1
0.87,0,75.9,0,1,5,1
0.9,0,328.4,1,3,5,0
0.69,0,318.5,5,3,1,1
0.51,0,100.1,0,3,23,0
0.23,0,318.5,2,2,12,0
0.07,0,475.8,0,0,6,0
0.43,1,556.7,3,2,15,1
0.92,0,448.1,4,3,14,1
0.66,0,182.1,2,1,8,0
0.14,0,232.3,1,2,7,0
0.78,0,289.1,4,4,10,1
0.56,0,141.4,4,1,13,1
0.77,0,326.5,4,4,9,1
0.69,1,590.3,4,5,15,1
0.18,0,577.1,4,3,13,0
0.61,1,218.8,2,6,21,1
0.01,0,581.4,1,0,1,0
0.28,1,543.8,3,0,22,1
0.61,0,319.5,4,5,20,0
0.18,0,325.8,1,5,13,0
0.93,0,473.6,1,1,1,0
0.77,0,56.5,0,2,11,0
0.1,1,607.7,2,3,9,0
0.99,0,80.5,0,0,0,0
0.73,1,259.8,1,2,18,1
0.16,0,597.5,2,0,2,0
0.58,1,307.4,2,2,2,1
0.67,0,578.8,5,4,10,1
0.7,0,141.1,3,6,9,1
0.18,1,246.7,2,2,8,0
0.97,1,301.8,0,1,2,1
0.51,0,488.4,4,5,11,1
0.73,1,133.8,4,3,12,1
0.78,0,143.8,2,1,21,1
0.57,1,193.1,1,5,13,1
0.16,0,117.6,5,6,12,0
0.47,0,180.4,1,2,2,0
0.14,0,73.2,1,6,10,0
